OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
73127,Gas N Wash,"I-55, EXIT 285",Chicago                                 ,IL,290,3.399
72816,QUIKTRIP #7914,I-27 EXIT 117,Amarillo,TX,585,2.84566666
67070,CASEYS #4225,"SR-155N, EXIT 26-A",Nashville,TN,460,3.06233333
72241,ROYAL FARMS #242,I-95 Exit 27,Philadelphia,PA,160,3.799
72773,RaceTrac #2626,I-20 Exit 472,Dallas,TX,630,2.864
69353,SPEEDWAY #2910,"I-79, EXIT 55",Pittsburgh,PA,165,3.909
71449,MAVERIK COUNTRY STORE #628,I-15 & CR-215,Las Vegas                               ,NV,910,3.35566666
72681,MAVERIK #691,I-76 EXIT 3,Denver,CO,800,3.284
72669,Quiktrip #356,US-81 & S Victoria RD,Wichita,KS,570,3.194
70717,Certified Oil #400491,I-270 EXIT 52,Columbus,OH,315,3.20233333
69379,Kum & Go #0535,US-6 & US-65,Des Moines,IA,320,2.98733333
60382,WINDSTARS #5101,"I-435, EXIT 57",Kansas City,MO,400,3.099
66800,CIRCLE K #2743950,I-35,San Antonio,TX,740,2.804
64112,RAPID ROBERTS #123,"I-44, EXIT 80",Springfield                             ,MO,535,2.899
70879,MAVERIK COUNTRY STORE #611,I-40 EXIT 154,Albuquerque,NM,580,3.194
6593,LITTLE AMERICA TRAVEL CENTER,"I-40, EXIT 198",Flagstaff,AZ,930,3.539
72623,LENNYS FOOD N FUEL,US-6,Joliet,IL,296,3.299
72755,RACETRAC #2620,I-465 Exit 42,Indianapolis,IN,375,3.159
3163,QUIKTRIP #71,"I-44, EXIT 238",Tulsa,OK,560,3.039
69149,BLU STATION- LAMAR AVE,"I-240, EXIT 30",Memphis,TN,435,2.969
64683,QUIKTRIP #777,"I-20, EXIT 49",Atlanta,GA,18,2.97233333
73066,QUIKTRIP #1499,I-10 EXIT 267,Tucson,AZ,980,3.06233333
71779,TCI PHOENIX,"I-10, EXIT 138 & US-202, EXIT 76 ",Phoenix,AZ,930,2.92233333
3383,E-Express at Central Truck Stop,"I-35, EXIT 137",Oklahoma City,OK,483,2.879
66341,7-ELEVEN #218,"I-44, EXIT 4",Harrold,TX,770,2.68733333
71079,DK,SR-375,El Paso,TX,640,2.699
64422,Chevron,"I-10, EXIT 858",Vidor,TX,610,2.749
63669,One9 #1248,"I-45, EXIT 271",Wilmer,TX,630,2.75566666
66689,ROSCOE TRAVEL PLAZA,"I-20, EXIT 235",Roscoe,TX,575,2.759
68847,CIRCLE K #2741553,US-190/US-183 & US-281,Lampasas                                ,TX,595,2.759
